       
          2006   2007   2008   2009   2010   2011   2012   2013   2014
  64151     0  2081  4254  3469  3100  2256  1730  2151   738
  64152     0   798  1702  1326   922   827   639   688   276
  64153     0   421   965   753   581   589   445   540   158
  64154     0   628  1449   966  1058   690   656   706   204
  64155     0  2013  4008  3295  2591  2098  1709  2097   748
  64156     0   412   773   629   687   464   331   493   161
  64157     0  1370  2681  1905  1658  1215  1020  1346   469
  64158     0   266   569   564   416   301   286   336    90
  64160     0     9     9    11    14     6     9     6     3
  64161     0    80   142   106   134   108    76   131    36
  64163     0    60    83    70   130    54    62    40    14
  64164     0    25    64    27    28    16    21     9     3
  64165     0    17    30    25    25    14    12    20     7
  64166     0    33    63    26    29    23     6    15     4
  64167     0    11    29    12     8     0     2     5     0
  64444     0     0    12     3     0     0     0     0     0
  66203     0     0     0     0     1     0     0     0     0
       
          2006   2007   2008   2009   2010   2011   2012   2013   2014
  CANC       0    815   2859   6955    235     55     61    154    112
  DUP        0      0      0      9      5      0      1      0      1
  HOLD       0      0      0      0      0      0      0      0      1
  OPEN       0      0      0    815   1095   2032   4475   6377   4017
  RESOL      1  82393 135285 111706 109349  94573  86455  86456  20466
  RHOLD      0      0      0      0      0      0      0      8      9
   
      2006   2007   2008   2009   2010   2011   2012   2013   2014
         1  83205 138118 119314 106971  91965  84365  87737  24576
  1      0      0      8     36    571    602    694    604     15
  2      0      1      0     15    217    246    302    252      3
  3      0      0      3     16    333    395    492    392      3
  4      0      2      4     37    701    939   1363   1087      1
  5      0      0     11     67   1891   2513   3776   2923      8
[1] 12400    25
                                    2007 2008 2009 2010 2011 2012 2013 2014 TOTAL
Barking Dog                            0    0    0    0    0    0    1    0     1
Bedbugs Problem                        0    0    0    9   57   82   59   19   226
Childhood Lead Poisoning Prevention    0    0    0    4    7    2    1    0    14
Communicable Disease Control           0    0    0    0    1    1    0    0     2
Food Establishment Complaints          0    0    0  382  411  425  605  109  1932
Health-All                           299  376  498   22    0    0    0    0  1195
Healthy Homes Program                  0    0    0   34   27   36   18    4   119
Hotel and Motel Inspections            0    0    0   39   46   41   59   18   203
Noise Complaints                       0    0    0  175  175  291  259   39   939
Outdoor Air Quality                    0    0    0  161  166  151  115   28   621
Public Pool Inspections                0    0    0   14   15   15   20    2    66
Public Restroom Sanitation             0    0    0   12   13   20   14    0    59
Questions or  Comments                 0    0    0    0    0    5    9    4    18
Rat Control Education                583   66    0    0    0    0    0    0   649
Rat Control Treatment                  0  989  958  996 1046 1063  979  161  6192
Smoking Complaints                     0    0    0   56   43   23   33    8   163
Zoning Inspections and Violations      0    0    0    0    0    1    0    0     1
TOTAL                                882 1431 1456 1904 2007 2156 2172  392 12400
